# Configuration Inventory - Entity Extraction Service Configuration Consolidation
# Generated: 2025-10-14
# Status: Phase 1 Complete - Consolidation from 299 to 56 Variables

Category,Variable_Name,Current_Value,Source,Status,Usage_Count,Notes
# - Prompt service details (3): PROMPT_SERVICE_ENABLED, PROMPT_SERVICE_TIMEOUT, PROMPT_SERVICE_RETRY_COUNT
# - Log service details (3): LOG_SERVICE_ENABLED, LOG_SERVICE_BATCH_SIZE, LOG_SERVICE_FLUSH_INTERVAL

# VARIABLES TO ADD (15 - from chunking integration in config.py)
# These are already in config.py ChunkingIntegrationSettings and will be mapped from .env:
# CHUNKING_MAX_SIZE, CHUNKING_MIN_SIZE, CHUNKING_OVERLAP, CHUNKING_ENABLE_SMART
# CHUNKING_PRESERVE_SENTENCES, CHUNKING_PRESERVE_PARAGRAPHS, CHUNKING_BATCH_SIZE
# CHUNKING_MAX_CHUNKS_PER_DOC, CONTEXT_WINDOW_SIZE, CONTEXT_WINDOW_BUFFER
# DISCOVERY_CHUNK_SIZE, MAX_UNIFIED_DOCUMENT_SIZE
# Note: These are already defined in config.py (lines 889-979) with proper env variable mapping

# SUMMARY STATISTICS
# Total variables in original .env: 299
# Total variables after consolidation: 56
# Total variables removed: 243
# Variables kept: 56 (100% essential)
# Configuration managed by config.py: 11 Settings classes
# Supabase keys present: 4/4 (SUPABASE_URL, SUPABASE_KEY, SUPABASE_API_KEY, SUPABASE_SERVICE_KEY)
# Critical services: vLLM (AI extraction), Supabase (database), Log Service, GraphRAG, Document Processing
